topic_name,main_category,pair_count,oriented_row_count,review_status,last_reviewed,source_notes
abortion_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,27,54,sources_needed,,
akhter_hossen,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
andaleeve_rahman_partho,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
anisul_islam_mahmud,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
ariful_islam_adeeb,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
assassination_august_1975,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
atm_azharul_islam,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
awami_league_vs_bnp,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,27,54,sources_needed,,
bangabandhu_legacy,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,18,36,sources_needed,,
bangladesh_amar_bangladesh_party,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
bangladesh_awami_league,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
bangladesh_ganosamhati_andolan,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
bangladesh_garment_worker_unions,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
bangladesh_gono_odhikar_parishad,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
bangladesh_india_relations,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
bangladesh_indigenous_cultural_appropriation,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,18,36,sources_needed,,
bangladesh_indigenous_land_restitution,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,18,36,sources_needed,,
bangladesh_islami_andolan,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
bangladesh_jamaat_e_islami,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
bangladesh_jamaat_ncp_alliance,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
bangladesh_jatiya_party,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
bangladesh_national_citizen_party,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
bangladesh_nationalism,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,27,54,sources_needed,,
bangladesh_nationalist_party_bnp,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
bangladesh_public_service_quota,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,18,36,sources_needed,,
bangladesh_public_university_finance,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
bangladesh_rapid_action_battalion,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
capitalism_vs_socialism_bd,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
caretaker_election_1996,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
china_relations_bd,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
climate_change_bd,BANGLADESH_SCIENCE_AND_PUBLIC_HEALTH,27,54,sources_needed,,
constitutional_amendment_and_basic_structure,BANGLADESH_CONSTITUTION,18,36,sources_needed,,
covid_governance_bd,BANGLADESH_SCIENCE_AND_PUBLIC_HEALTH,18,36,sources_needed,,
criminal_justice_reform_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,27,54,sources_needed,,
cyber_security_law_bd,BANGLADESH_PUBLIC_POLICY,27,54,sources_needed,,
dhaka_housing_policy,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
drug_policy_bd,BANGLADESH_PUBLIC_POLICY,27,54,sources_needed,,
economic_policy_bd,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
education_policy_bd,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
election_2008,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
election_2018,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
election_2026,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
election_policy_bd,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
emergency_2007_2008,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
emergency_powers_and_fundamental_rights,BANGLADESH_CONSTITUTION,18,36,sources_needed,,
environmental_policy_bd,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
ershad_takeover_1982,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
ethnic_minority_history_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,18,36,sources_needed,,
fall_of_hasina_august_2024,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
feminism_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,18,36,sources_needed,,
foreign_aid_bd,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
foreign_policy_balance_bd,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
freedom_of_speech_article_39,BANGLADESH_CONSTITUTION,27,54,sources_needed,,
fundamental_rights_and_equality,BANGLADESH_CONSTITUTION,27,54,sources_needed,,
gender_identity_language_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,18,36,sources_needed,,
gender_pay_gap_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,18,36,sources_needed,,
gender_roles_bd,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,18,36,sources_needed,,
gm_quader,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
h_m_ershad,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
hasnat_abdullah,BANGLADESH_POLITICAL_FIGURES_AND_PARTIES,9,18,sources_needed,,
healthcare_policy_bd,BANGLADESH_PUBLIC_POLICY,18,36,sources_needed,,
hefazat_mobilization_2013,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
hijra_transgender_rights,BANGLADESH_SOCIAL_AND_IDENTITY_ISSUES,18,36,sources_needed,,
holey_artisan_attack_2016,BANGLADESH_HISTORICAL_AND_CURRENT_EVENTS,9,18,sources_needed,,
